        close      high       low      open        time  volumefrom   volumeto           timestamp
0    14325.80  14389.99  14325.80  14389.99  1514019780        2.99   42972.43 2017-12-23 18:03:00
1    14317.30  14390.00  14300.21  14325.80  1514019840       11.05  158770.89 2017-12-23 18:04:00
2    14407.43  14412.00  14300.87  14317.30  1514019900        8.54  122648.63 2017-12-23 18:05:00
3    14394.93  14411.99  14339.10  14407.43  1514019960        3.32   47728.15 2017-12-23 18:06:00
4    14333.18  14394.96  14258.60  14394.93  1514020020       14.36  205246.72 2017-12-23 18:07:00
5    14322.77  14358.89  14303.15  14333.18  1514020080        3.68   52688.42 2017-12-23 18:08:00
6    14258.60  14340.93  14258.60  14322.77  1514020140        8.92  127416.58 2017-12-23 18:09:00
7    14260.00  14267.89  14223.04  14258.60  1514020200       29.46  419685.08 2017-12-23 18:10:00
8    14188.40  14260.00  14187.57  14260.00  1514020260       20.63  293189.91 2017-12-23 18:11:00
9    14046.58  14198.93  14046.58  14188.40  1514020320       65.31  922973.55 2017-12-23 18:12:00
10   14182.21  14182.21  14046.58  14046.58  1514020380        8.55  120532.53 2017-12-23 18:13:00
11   14176.36  14199.00  14150.05  14182.21  1514020440        2.89   40988.41 2017-12-23 18:14:00
12   14158.24  14195.35  14098.30  14176.36  1514020500        6.94   98213.41 2017-12-23 18:15:00
13   14194.26  14198.99  14114.83  14158.24  1514020560        1.14   16100.61 2017-12-23 18:16:00
14   14248.93  14248.93  14194.05  14194.26  1514020620        7.81  110885.48 2017-12-23 18:17:00
15   14271.08  14294.30  14215.44  14248.93  1514020680       10.16  144982.33 2017-12-23 18:18:00
16   14271.08  14290.14  14242.91  14271.08  1514020740        3.72   53025.47 2017-12-23 18:19:00
17   14252.07  14271.08  14203.64  14271.08  1514020800        5.35   76150.67 2017-12-23 18:20:00
18   14271.07  14271.08  14201.50  14252.07  1514020860        2.95   42026.26 2017-12-23 18:21:00
19   14276.99  14277.00  14248.87  14271.07  1514020920        3.92   55890.56 2017-12-23 18:22:00
20   14328.14  14328.14  14270.00  14276.99  1514020980        3.39   48412.92 2017-12-23 18:23:00
21   14344.00  14347.99  14275.72  14328.14  1514021040       16.59  237539.18 2017-12-23 18:24:00
22   14343.99  14344.00  14277.99  14344.00  1514021100        6.44   92144.96 2017-12-23 18:25:00
23   14365.81  14365.81  14330.70  14343.99  1514021160        5.80   83171.92 2017-12-23 18:26:00
24   14401.72  14401.72  14365.76  14365.81  1514021220       14.49  208127.24 2017-12-23 18:27:00
25   14389.99  14401.72  14375.05  14401.72  1514021280        4.80   69120.28 2017-12-23 18:28:00
26   14401.72  14401.72  14375.00  14389.99  1514021340        2.67   38404.02 2017-12-23 18:29:00
27   14401.71  14401.72  14375.99  14401.72  1514021400        4.67   67272.06 2017-12-23 18:30:00
28   14362.71  14401.72  14362.71  14401.71  1514021460       10.54  151463.42 2017-12-23 18:31:00
29   14375.00  14375.00  14334.33  14362.71  1514021520        3.57   51304.15 2017-12-23 18:32:00
30   14374.99  14375.00  14344.89  14375.00  1514021580        2.64   37945.68 2017-12-23 18:33:00
31   14401.72  14401.72  14352.93  14374.99  1514021640        4.29   61719.57 2017-12-23 18:34:00
32   14437.72  14437.72  14401.72  14401.72  1514021700       11.08  159717.80 2017-12-23 18:35:00
33   14437.72  14437.72  14402.00  14437.72  1514021760        2.29   33043.68 2017-12-23 18:36:00
34   14400.00  14437.72  14379.51  14437.72  1514021820       10.83  156086.04 2017-12-23 18:37:00
35   14356.54  14400.00  14356.54  14400.00  1514021880        4.98   71651.19 2017-12-23 18:38:00
36   14400.00  14400.00  14356.54  14356.54  1514021940        2.58   37197.18 2017-12-23 18:39:00
37   14400.00  14400.00  14380.19  14400.00  1514022000        3.43   49375.19 2017-12-23 18:40:00
38   14400.00  14400.00  14372.88  14400.00  1514022060        3.43   49424.62 2017-12-23 18:41:00
39   14379.49  14431.52  14372.51  14400.00  1514022120        3.09   44556.89 2017-12-23 18:42:00
40   14410.14  14449.77  14373.28  14379.49  1514022180        4.69   67656.23 2017-12-23 18:43:00
41   14442.89  14448.00  14374.70  14410.14  1514022240        3.20   46166.23 2017-12-23 18:44:00
42   14443.01  14448.00  14389.94  14442.89  1514022300        3.28   47258.84 2017-12-23 18:45:00
43   14470.04  14470.04  14391.01  14443.01  1514022360       11.67  168581.43 2017-12-23 18:46:00
44   14540.42  14540.44  14443.01  14470.04  1514022420       66.23  959267.75 2017-12-23 18:47:00
45   14540.00  14546.28  14500.99  14540.42  1514022480       12.04  174949.14 2017-12-23 18:48:00
46   14581.40  14582.64  14540.00  14540.00  1514022540       28.65  416781.39 2017-12-23 18:49:00
47   14582.64  14582.64  14581.35  14581.40  1514022600        8.84  128894.19 2017-12-23 18:50:00
48   14582.64  14582.64  14582.00  14582.64  1514022660        9.30  135650.79 2017-12-23 18:51:00
49   14582.64  14582.64  14582.00  14582.64  1514022720        4.84   70527.89 2017-12-23 18:52:00
50   14582.64  14582.64  14582.50  14582.64  1514022780        6.56   95646.03 2017-12-23 18:53:00
51   14582.64  14582.64  14580.00  14582.64  1514022840        6.51   94933.92 2017-12-23 18:54:00
52   14600.00  14600.00  14582.64  14582.64  1514022900        3.69   53930.09 2017-12-23 18:55:00
53   14600.00  14600.00  14560.03  14600.00  1514022960        2.50   36555.42 2017-12-23 18:56:00
54   14600.00  14600.00  14560.09  14600.00  1514023020        2.06   30073.41 2017-12-23 18:57:00
55   14600.00  14600.00  14561.91  14600.00  1514023080        8.47  123608.63 2017-12-23 18:58:00
56   14650.06  14655.65  14600.00  14600.00  1514023140       39.57  578907.84 2017-12-23 18:59:00
57   14656.51  14667.14  14650.00  14650.06  1514023200       14.32  209913.84 2017-12-23 19:00:00
58   14604.41  14695.73  14604.41  14656.51  1514023260       29.54  433932.45 2017-12-23 19:01:00
59   14650.00  14685.91  14600.00  14604.41  1514023320        9.45  138308.63 2017-12-23 19:02:00
60   14630.01  14650.00  14604.39  14650.00  1514023380        4.53   66228.82 2017-12-23 19:03:00
61   14648.95  14648.95  14604.26  14630.01  1514023440        2.33   34141.87 2017-12-23 19:04:00
62   14601.66  14648.95  14550.00  14648.95  1514023500        6.64   96793.77 2017-12-23 19:05:00
63   14550.00  14634.35  14549.98  14601.66  1514023560        5.33   77758.38 2017-12-23 19:06:00
64   14540.00  14550.00  14540.00  14550.00  1514023620        3.26   47403.08 2017-12-23 19:07:00
65   14535.00  14549.99  14516.33  14540.00  1514023680        6.99  101632.68 2017-12-23 19:08:00
66   14535.00  14535.00  14499.26  14535.00  1514023740        4.92   71515.11 2017-12-23 19:09:00
67   14540.00  14540.00  14510.02  14535.00  1514023800        7.12  103477.16 2017-12-23 19:10:00
68   14527.75  14550.00  14500.00  14540.00  1514023860        5.29   76914.44 2017-12-23 19:11:00
69   14460.00  14527.75  14460.00  14527.75  1514023920        3.32   48072.55 2017-12-23 19:12:00
70   14460.73  14534.17  14424.88  14460.00  1514023980        5.94   85925.37 2017-12-23 19:13:00
71   14450.00  14509.21  14449.21  14460.73  1514024040       14.37  207709.53 2017-12-23 19:14:00
72   14450.00  14450.00  14420.00  14450.00  1514024100       32.51  469728.78 2017-12-23 19:15:00
73   14523.58  14534.50  14450.00  14450.00  1514024160        6.57   95080.34 2017-12-23 19:16:00
74   14535.00  14535.00  14458.56  14523.58  1514024220        5.93   86086.61 2017-12-23 19:17:00
75   14488.23  14535.00  14459.05  14535.00  1514024280        2.52   36520.05 2017-12-23 19:18:00
76   14527.15  14527.16  14484.99  14488.23  1514024340        3.62   52503.91 2017-12-23 19:19:00
77   14486.83  14527.16  14450.02  14527.15  1514024400        1.77   25637.08 2017-12-23 19:20:00
78   14447.32  14505.78  14401.72  14486.83  1514024460       21.86  315197.53 2017-12-23 19:21:00
79   14400.00  14447.32  14375.09  14447.32  1514024520        8.70  125387.03 2017-12-23 19:22:00
80   14373.10  14428.60  14365.81  14400.00  1514024580        8.78  126347.86 2017-12-23 19:23:00
81   14365.00  14400.00  14364.12  14399.99  1514024640       44.03  633270.79 2017-12-23 19:24:00
82   14365.00  14365.00  14329.98  14365.00  1514024700       13.92  199548.86 2017-12-23 19:25:00
83   14364.98  14375.72  14358.57  14365.00  1514024760        4.09   58821.51 2017-12-23 19:26:00
84   14365.00  14403.07  14358.57  14364.98  1514024820        7.23  103835.23 2017-12-23 19:27:00
85   14365.00  14365.00  14356.17  14365.00  1514024880        4.90   70453.12 2017-12-23 19:28:00
86   14365.00  14365.00  14360.06  14365.00  1514024940        6.59   94736.90 2017-12-23 19:29:00
87   14411.00  14411.00  14365.00  14365.00  1514025000       10.55  151617.30 2017-12-23 19:30:00
88   14340.00  14411.00  14330.04  14411.00  1514025060       15.99  229377.39 2017-12-23 19:31:00
89   14443.97  14449.92  14330.09  14340.00  1514025120       12.53  179989.56 2017-12-23 19:32:00
90   14440.00  14443.97  14381.56  14443.97  1514025180        9.94  143529.13 2017-12-23 19:33:00
91   14498.51  14498.51  14400.59  14440.00  1514025240        5.34   77304.19 2017-12-23 19:34:00
92   14529.65  14550.00  14484.75  14498.51  1514025300       22.46  326654.21 2017-12-23 19:35:00
93   14550.00  14550.00  14529.65  14529.65  1514025360        5.42   78752.69 2017-12-23 19:36:00
94   14550.00  14550.00  14525.00  14550.00  1514025420        2.49   36236.74 2017-12-23 19:37:00
95   14578.00  14591.81  14525.01  14550.00  1514025480       54.54  793532.78 2017-12-23 19:38:00
96   14580.00  14580.00  14552.66  14578.00  1514025540        3.72   54299.39 2017-12-23 19:39:00
97   14600.00  14600.00  14552.66  14580.00  1514025600       27.16  396223.15 2017-12-23 19:40:00
98   14611.00  14611.00  14571.03  14600.00  1514025660       25.30  369377.60 2017-12-23 19:41:00
99   14634.36  14634.36  14578.77  14611.00  1514025720        2.73   39958.29 2017-12-23 19:42:00
100  14580.00  14634.36  14634.36  14634.36  1514025780        0.00       0.00 2017-12-23 19:43:00
