        close      high       low      open        time  volumefrom   volumeto           timestamp
0    14649.98  14674.00  14625.77  14625.83  1514019600        6.62   96902.88 2017-12-23 18:00:00
1    14649.99  14694.84  14625.78  14649.98  1514019660       10.47  153492.78 2017-12-23 18:01:00
2    14650.00  14650.00  14649.99  14649.99  1514019720        6.02   88244.60 2017-12-23 18:02:00
3    14650.00  14694.00  14649.99  14650.00  1514019780        6.69   98018.35 2017-12-23 18:03:00
4    14654.12  14692.40  14637.14  14650.00  1514019840       15.19  222709.01 2017-12-23 18:04:00
5    14654.17  14680.00  14654.11  14654.12  1514019900        5.51   80749.44 2017-12-23 18:05:00
6    14660.00  14679.97  14654.11  14654.17  1514019960        6.32   92729.09 2017-12-23 18:06:00
7    14645.85  14670.89  14637.14  14660.00  1514020020        9.53  139642.28 2017-12-23 18:07:00
8    14633.07  14645.86  14625.44  14645.85  1514020080        3.80   55593.50 2017-12-23 18:08:00
9    14620.00  14633.07  14620.00  14633.07  1514020140        3.58   52307.97 2017-12-23 18:09:00
10   14620.01  14620.01  14620.00  14620.00  1514020200        9.05  132241.33 2017-12-23 18:10:00
11   14583.54  14620.01  14550.02  14620.01  1514020260       20.27  295966.87 2017-12-23 18:11:00
12   14500.01  14583.55  14500.00  14583.54  1514020320       14.12  205252.39 2017-12-23 18:12:00
13   14494.99  14500.01  14460.00  14500.01  1514020380       10.69  154844.96 2017-12-23 18:13:00
14   14494.98  14495.00  14494.98  14494.99  1514020440        4.40   63810.86 2017-12-23 18:14:00
15   14463.81  14494.98  14452.00  14494.98  1514020500       30.57  442396.98 2017-12-23 18:15:00
16   14497.00  14497.00  14463.80  14463.81  1514020560       10.58  153270.04 2017-12-23 18:16:00
17   14545.00  14545.00  14497.00  14497.00  1514020620        4.62   67050.75 2017-12-23 18:17:00
18   14594.00  14594.00  14544.99  14545.00  1514020680       12.76  185957.57 2017-12-23 18:18:00
19   14599.99  14600.00  14594.00  14594.00  1514020740        7.35  107339.25 2017-12-23 18:19:00
20   14564.19  14600.00  14527.35  14599.99  1514020800       15.53  226167.88 2017-12-23 18:20:00
21   14595.99  14596.00  14564.18  14564.19  1514020860        7.23  105353.23 2017-12-23 18:21:00
22   14612.50  14612.50  14595.99  14595.99  1514020920        3.92   57250.93 2017-12-23 18:22:00
23   14612.50  14612.50  14612.49  14612.50  1514020980        5.70   83264.20 2017-12-23 18:23:00
24   14637.88  14660.00  14612.50  14612.50  1514021040        9.05  132422.72 2017-12-23 18:24:00
25   14645.25  14645.25  14637.88  14637.88  1514021100        3.02   44205.43 2017-12-23 18:25:00
26   14670.07  14670.07  14645.24  14645.25  1514021160        6.01   88119.61 2017-12-23 18:26:00
27   14663.33  14731.35  14661.25  14670.07  1514021220       12.83  188543.52 2017-12-23 18:27:00
28   14720.50  14727.30  14650.07  14663.33  1514021280       17.23  253406.96 2017-12-23 18:28:00
29   14669.65  14720.50  14666.34  14720.50  1514021340        3.88   57011.49 2017-12-23 18:29:00
30   14671.44  14710.00  14669.65  14669.65  1514021400        4.94   72567.85 2017-12-23 18:30:00
31   14670.02  14709.34  14670.01  14671.44  1514021460        3.70   54317.14 2017-12-23 18:31:00
32   14696.00  14710.00  14670.00  14670.02  1514021520        3.36   49274.78 2017-12-23 18:32:00
33   14671.08  14696.00  14670.01  14696.00  1514021580        3.81   55980.13 2017-12-23 18:33:00
34   14678.21  14700.00  14671.08  14671.08  1514021640        4.25   62385.46 2017-12-23 18:34:00
35   14710.00  14710.00  14678.20  14678.21  1514021700        3.24   47582.82 2017-12-23 18:35:00
36   14710.95  14710.96  14709.99  14710.00  1514021760       14.19  208717.91 2017-12-23 18:36:00
37   14710.00  14736.98  14710.00  14710.95  1514021820        6.37   93712.84 2017-12-23 18:37:00
